name,url_picture,date_of_birth,age,height,weight,spike,block
Ana Pejicic,/en/vnl/women/teams/srb-serbia/players/ana-pejicic?id=71827,05/11/2000,19,190,69,299,288
Milica Kubura,/en/vnl/women/teams/srb-serbia/players/milica-kubura?id=71825,20/03/1995,24,192,77,297,280
Aleksandra Tadic,/en/vnl/women/teams/srb-serbia/players/aleksandra-tadic?id=71830,24/12/1997,22,174,60,270,265
Marija Popovic,/en/vnl/women/teams/srb-serbia/players/marija-popovic?id=71863,20/08/1996,23,162,60,230,225
Bojana Gocanin,/en/vnl/women/teams/srb-serbia/players/bojana-gocanin?id=71824,25/09/2002,17,179,66,286,276
Wipawee Srithong,/en/vnl/women/teams/tha-thailand/players/wipawee-srithong?id=71795,28/01/1999,20,174,65,288,266
Piyanut Pannoy,/en/vnl/women/teams/tha-thailand/players/piyanut-pannoy?id=71790,10/11/1989,30,171,62,280,275
Pornpun Guedpard,/en/vnl/women/teams/tha-thailand/players/pornpun-guedpard?id=71778,05/05/1993,26,170,63,288,279
Thatdao Nuekjang,/en/vnl/women/teams/tha-thailand/players/thatdao-nuekjang?id=71788,03/02/1994,25,184,72,308,296
Pleumjit Thinkaow,/en/vnl/women/teams/tha-thailand/players/pleumjit-thinkaow?id=71796,09/11/1983,36,180,67,303,283
Onuma Sittirak,/en/vnl/women/teams/tha-thailand/players/onuma-sittirak?id=71793,13/06/1986,33,175,72,304,285
Watchareeya Nuanjam,/en/vnl/women/teams/tha-thailand/players/watchareeya-nuanjam?id=71787,22/07/1996,23,177,64,292,279
Wanitchaya Luangtonglang,/en/vnl/women/teams/tha-thailand/players/wanitchaya-luangtonglang?id=71784,08/10/1992,27,177,60,300,275
Wilavan Apinyapong,/en/vnl/women/teams/tha-thailand/players/wilavan-apinyapong?id=71773,06/06/1984,35,174,70,294,282
Amporn Hyapha,/en/vnl/women/teams/tha-thailand/players/amporn-hyapha?id=71779,19/05/1985,34,180,70,301,290
Tapaphaipun Chaisri,/en/vnl/women/teams/tha-thailand/players/tapaphaipun-chaisri?id=71776,29/11/1989,30,168,70,295,276
Nootsara Tomkom,/en/vnl/women/teams/tha-thailand/players/nootsara-tomkom?id=71797,07/07/1985,34,169,57,289,278
Chitaporn Kamlangmak,/en/vnl/women/teams/tha-thailand/players/chitaporn-kamlangmak?id=71780,17/03/1996,23,184,74,290,282
Malika Kanthong,/en/vnl/women/teams/tha-thailand/players/malika-kanthong?id=71782,08/01/1987,32,178,65,292,278
Tichaya Boonlert,/en/vnl/women/teams/tha-thailand/players/tichaya-boonlert?id=71775,14/02/1997,22,179,64,293,284
Ajcharaporn Kongyot,/en/vnl/women/teams/tha-thailand/players/ajcharaporn-kongyot?id=71783,18/06/1995,24,178,65,298,287
Chatchu-On Moksri,/en/vnl/women/teams/tha-thailand/players/chatchu-on-moksri?id=71785,06/11/1999,20,178,58,298,290
Supattra Pairoj,/en/vnl/women/teams/tha-thailand/players/supattra-pairoj?id=71789,27/06/1990,29,160,58,275,265
Gullapa Piampongsan,/en/vnl/women/teams/tha-thailand/players/gullapa-piampongsan?id=71791,17/03/1991,28,178,60,280,274
Yupa Sanitklang,/en/vnl/women/teams/tha-thailand/players/yupa-sanitklang?id=71792,14/08/1991,28,166,55,275,260
Jutarat Montripila,/en/vnl/women/teams/tha-thailand/players/jutarat-montripila?id=71786,02/10/1986,33,175,60,290,280
Tichakorn Boonlert,/en/vnl/women/teams/tha-thailand/players/tichakorn-boonlert?id=71774,22/03/2001,18,180,78,294,283
Thanacha Sooksod,/en/vnl/women/teams/tha-thailand/players/thanacha-sooksod?id=71794,26/05/2000,19,180,70,283,275
Kaewkalaya Kamulthala,/en/vnl/women/teams/tha-thailand/players/kaewkalaya-kamulthala?id=71781,07/08/1994,25,178,66,298,281
Tikamporn Changkeaw,/en/vnl/women/teams/tha-thailand/players/tikamporn-changkeaw?id=71777,12/12/1984,35,168,62,260,252
Gizem Örge Güner,/en/vnl/women/teams/tur-turkey/players/gizem-%c3%b6rge-g%c3%bcner?id=71214,26/04/1993,26,172,59,270,260
Simge Sebnem Akoz,/en/vnl/women/teams/tur-turkey/players/simge-sebnem-akoz?id=71199,23/04/1991,28,168,56,250,245
Cansu Ozbay,/en/vnl/women/teams/tur-turkey/players/cansu-ozbay?id=71215,17/10/1996,23,182,78,298,290
Seyma Ercan,/en/vnl/women/teams/tur-turkey/players/seyma-ercan?id=71208,05/07/1994,25,187,73,305,294
Kubra Caliskan,/en/vnl/women/teams/tur-turkey/players/kubra-caliskan?id=71204,13/10/1994,25,198,86,310,310
Hande Baladin,/en/vnl/women/teams/tur-turkey/players/hande-baladin?id=71202,01/09/1997,22,190,81,309,300
Buse Unal,/en/vnl/women/teams/tur-turkey/players/buse-unal?id=71221,29/07/1997,22,188,74,299,290
Meliha Ismailoglu,/en/vnl/women/teams/tur-turkey/players/meliha-ismailoglu?id=71211,17/09/1993,26,188,73,303,291
Melis Durul,/en/vnl/women/teams/tur-turkey/players/melis-durul?id=71207,21/10/1993,26,185,74,303,291
Ezgi Dilik,/en/vnl/women/teams/tur-turkey/players/ezgi-dilik?id=71224,12/06/1995,24,177,72,288,280
Gözde Yilmaz,/en/vnl/women/teams/tur-turkey/players/g%c3%b6zde-yilmaz?id=71223,09/09/1991,28,194,79,316,306
Meryem Boz,/en/vnl/women/teams/tur-turkey/players/meryem-boz?id=71203,03/02/1988,31,190,68,323,313
Eda Erdem Dündar,/en/vnl/women/teams/tur-turkey/players/eda-erdem-d%c3%bcndar?id=71209,22/06/1987,32,188,74,307,297
Ayçin Akyol,/en/vnl/women/teams/tur-turkey/players/ay%c3%a7in-akyol?id=71200,15/06/1999,20,188,72,305,298
